ny,nums
200504,1
200505,1
200506,3
200509,2
200705,2
200708,1
200710,1
200711,1
200712,1
200802,3
200803,1
200808,3
200809,1
200810,2
200811,3
200903,2
200906,1
200909,1
200910,1
200911,4
200912,2
201001,2
201002,3
201003,2
201004,1
201005,2
201006,1
201007,1
201008,1
201009,3
201010,1
201011,6
201012,5
201101,3
201102,2
201103,4
201104,6
201105,6
201106,6
201107,3
201108,2
201109,4
201110,7
201111,1
201112,3
201201,3
201203,2
201205,1
201206,2
201207,2
201208,2
201209,6
201210,2
201211,6
201212,1
201301,6
201302,1
201303,13
201304,10
201305,3
201306,4
201307,6
201308,7
201309,5
201310,11
201311,14
201312,9
201401,17
201402,15
201403,28
201404,26
201405,41
201406,48
201407,56
201408,95
201409,159
201410,174
201411,242
201412,321
201501,90820
201502,74869
201503,120348
201504,93618
201505,97012
201506,92506
201507,103261
201508,94782
201509,86473
201510,75857
201511,84611
201512,84783
201601,97333
201602,83685
201603,103169
201604,83104
201605,53057
201606,69877
201607,47849
201608,41616
201609,32856
201610,20263
201611,5708
